Training Provider Name,Address,Telephone No.,Email,Website Link,Industry
HYPNOSIS & TRAINING SOLUTIONS (M) SDN BHD,"PHILEO DAMANASARA 1,SUITE 8-07 BLOCK B,JALAN DAMANSARA, OFF,,JALAN 16/11 SEKSYEN 16,PETALING JAYA,Selangor,Malaysia-46350",60122504540,menonsheila@yahoo.com,No Corporate Domain Detected (Yahoo),Training Solutions
LAURES INTERNATIONAL SDN BHD,,60378866207,admin@lauresinternational.com,http://www.lauresinternational.com,International
GUMBLOW CABXI (M) SDN BHD,,60123205013,zarina.zainal@gmail.com,No Corporate Domain Detected (Gmail),Cabxi
GLOBAL INFOSKILLS SDN BHD,,60378777692,info@globalinfoskills.com,http://www.globalinfoskills.com,Infoskills
EVEREST INNOVATION SDN. BHD.,,60122232081,kwanleonglee@first-joy.com,http://www.first-joy.com,Innovation
MSE INDUSTRIES SDN BHD,,60358775225,finance@mse.com.my,http://www.mse.com.my,Industries
SALES NINJA TRAINING SDN BHD,,60162207000,nadiahanwar@gmail.com,No Corporate Domain Detected (Gmail),Sales Ninja
COACH 2 SUCCESS CONSULTANCY SDN BHD,,60193188376,mustak@coach2success.com.my,http://www.coach2success.com.my,Success Consultancy
MALAYSIAN ACADEMY OF SUPPLY CHAIN & LOGISTICS MANAGEMENT,,60379581575,ruby@maslm.com.my,http://www.maslm.com.my,Logistics Management
PURPLE ANTZ EVENTS SDN BHD,,60193242818,shirley@purpleantzevents.com,http://www.purpleantzevents.com,Events
GLOBAL BUSINESS EXCELLENCE (M) SDN. BHD.,,60166619331,cheryl@gbexcel.com,http://www.gbexcel.com,Business Excellence
PROFOUND LEARNING SOLUTIONS SDN BHD,,+60172974380,shamrose@trainingpls.com,http://www.trainingpls.com,Learning Solutions
KHALIL TRADING AND SERVICES SDN. BHD.,,60129831120,asyraf@khaliltrading.com.my,http://www.khaliltrading.com.my,Trading Services
AL GLOBAL CORPORATION (M) SDN. BHD.,,60355191921,alglobalcorpm@gmail.com,No Corporate Domain Detected (Gmail),Global Corp
CHA ACADEMY SDN BHD,,60355253300,chaacademy@gmail.com,No Corporate Domain Detected (Gmail),Academy
NEXUS TAC SDN BHD,,60377281637,info@nexustac.com,http://www.nexustac.com,Nexus
GLOBAL GENIUS CONSULTANT SDN.BHD.,,60341074101,pengurusprogram@gmail.com,No Corporate Domain Detected (Gmail),Genius Consultant
ADVANCED LEARNING CENTRE SDN BHD,,60122883356,advancedlearning63@gmail.com,No Corporate Domain Detected (Gmail),Learning Centre
CHARLES MANN TRAINING AND CONSULTANCY SDN BHD,,60104250886,abdulawwal@charlesmann.com.my,http://www.charlesmann.com.my,Training Consultancy
CHRISTIE ASSOCIATES SDN BHD,,60376100768,liichu@christieassociates.com.my,http://www.christieassociates.com.my,Associates
LIFEWORKS CONSULTING SDN. BHD.,,60358869292,enquiry@lifeworks.com.my,http://www.lifeworks.com.my,Consulting
VIDEV CONSULTING SDN BHD,,60378865168,videvconsulting@yahoo.com,No Corporate Domain Detected (Yahoo),Consulting
PLAST KONCEPT TRAINING & KONSULTANCY PLT,,60341313135,admin@plastkoncept.com,No Corporate Domain Detected (Gmail),Plast Koncept
SYSTEM & SKILLS TRAINING CONCEPT SDN. BHD.,,60169198992,systemskills.info@gmail.com,No Corporate Domain Detected (Gmail),Training Concept
LSS ACADEMY SDN. BHD.,,+603-78738485,hrdc@lss-academy.com,http://www.lss-academy.com,Academy
SAKRA ACADEMY (M) SDN BHD,,60379550315,nimalan@sakra.com.my,http://www.sakra.com.my,Academy
JP CONSULTANCY & ENGINEERING SDN BHD,,60351316514,enquiry@jpconsultancy.com.my,http://www.jpconsultancy.com.my,Consultancy Engineering
MAX PARAGON SDN BHD,,60380751072,enquiry@maxparagon.com.my,http://www.maxparagon.com.my,Paragon
DBM HOLDINGS SDN BHD,,60376608156,leanne.ooi@lhh-malaysia.com,http://www.lhh-malaysia.com,Holdings
IERP SDN.BHD.,,60327146170,enquiry2@insterp.com,http://www.insterp.com,ERP
ENFINITI ACADEMY SDN BHD,,60361428115,alice@enfiniti.com.my,http://www.enfiniti.com.my,Academy
RENASH SOLUTION (M) SDN BHD,,60355232908,sales@renashsolution.com,http://www.renashsolution.com,Solution
MEDIC XCEL TRAINING SDN BHD,,60134847600,medicxcel@gmail.com,No Corporate Domain Detected (Gmail),Medic Training
ACCORDIA TRAINING & DEVELOPMENT SDN BHD,,60380750386,pushpa@accordia.com.my,http://www.accordia.com.my,Training Development
BINA INITIATIVES SDN BHD,,60379542462,shila@bina-i.com,http://www.bina-i.com,Initiatives
ASCENDA CONSULTING SDN. BHD.,,60123803963,janblasc@gmail.com,No Corporate Domain Detected (Gmail),Consulting
LEARNING AT VANTAGE SDN BHD,,60124878325,timothy@learningatvantage.com,http://www.learningatvantage.com,Learning
HARVEST GLOBAL RESOURCES SDN. BHD.,,60123030575,weehen@harvestglobalresources.com,http://www.harvestglobalresources.com,Global Resources
ANGEL ELEMENT CONSULTANCY SDN BHD,,60350214223,admin@angel-element.com,http://www.angel-element.com,Element Consultancy
RED LEAVES SOLUTION SDN. BHD.,,60129692129,mydriso@gmail.com,No Corporate Domain Detected (Gmail),Solution
ASIAN BUSINESS SOFTWARE SOLUTIONS SDN BHD,,+60172157414,amirah.shaiful@abssasia.com,http://www.abssasia.com,Software Solutions
RICHMARK TRAINING SDN. BHD.,,60377812551,glen@richmarktraining.com,http://www.richmarktraining.com,Training
MAWA EVENTS SDN. BHD.,,601116373203,waseem@mawaevents.net,http://www.mawaevents.net,Events
ENVOSHA SDN BHD,,60351030452,sarumathy@envosha.com.my,http://www.envosha.com.my,Envosha
JPS CONSULTANCY & TRAINING SDN BHD,,60123142518,jpsconsultancy007@gmail.com,No Corporate Domain Detected (Gmail),Consultancy Training
MALAYSIA LOGISTICS INNOVATION BERHAD,,60176362464,finance@misi.edu.my,http://www.misi.edu.my,Logistics Innovation
KUISCELL SDN BHD,,60389121636,kuiscell@uis.edu.my,http://www.uis.edu.my,Kuiscell
CNL HR SOLUTIONS SDN BHD,,60377822388,info@centralhr.my,http://www.centralhr.my,HR Solutions
BIG TECH. SDN. BHD.,"UNIT 610, BLOCK B,PUSAT DAGANGAN PHILEO DAMANSARA 1,JALAN 16/11,SEKSYEN 16,PETALING JAYA,Selangor,Malaysia-46350",60173732022,haslina@bigtechmalaysia.com,http://www.bigtechmalaysia.com,Big Tech
ALFA PERSADA SDN BHD,,60338840258,megatridzuan@alfapersada.com,http://www.alfapersada.com,Alfa Persada
NEXMU SDN BHD,,60122966213,patsy@nexmu.net,http://www.nexmu.net,Nexmu
DRC MANAGEMENT & TRAINING PLT,"B1-11 MAHKOTA GARDEN CONDO,JALAN MUTIARA GARDEN,PERSIARAN MAHKOTA GARDEN 1,BANDAR MAHKOTA CHERAS,CHERAS,Selangor,Malaysia-43200",+60137296728,drleonchua@gmail.com,No Corporate Domain Detected (Gmail),Management Training
ACTIVE BUGS SDN BHD,,60122802833,justin@activebugs.com,http://www.activebugs.com,Active Bugs
ITS INSPECTION TECHNICAL SOLUTION SDN. BHD.,,60378323464,inspection.technical.solution@gmail.com,No Corporate Domain Detected (Gmail),Inspection Solution
JAS TRAINING & CONSULTANCY SDN BHD,,60378047870,syazlin@jastrainingconsultancy.com,http://www.jastrainingconsultancy.com,Training Consultancy
MBIZM SDN. BHD.,,60378738485,hrdc@mbizm.com,http://www.mbizm.com,Mbizm
1TRAINING WORKLIFE MANAGEMENT SDN BHD,,60192775922,aaronlee@1training.com.my,http://www.1training.com.my,Worklife Management
PASTRY STUDIO SDN. BHD.,,60379603846,info@apcamalaysia.com,http://www.apcamalaysia.com,Pastry Studio
AKADEMI PKNS SDN BHD,,60355250696,syarina@akademipkns.edu.my,http://www.akademipkns.edu.my,Academy
QOM LEARNING GROUP SDN BHD,,60356147886,wmlee@qomlg.com.my,http://www.qomlg.com.my,Learning Group
MITUTOYO (MALAYSIA) SENDIRIAN BERHAD,,60378459318,jessica_lim@mitutoyo.com.my,http://www.mitutoyo.com.my,Mitutoyo
TRANSWATER API SDN. BHD.,,60355691155,hr@transwater.com.my,http://www.transwater.com.my,Transwater
ALYPZ SDN.BHD.,,60172496652,suriati.maaran@alypz.com,http://www.alypz.com,Alypz
MALAYSIAN EMPLOYERS FEDERATION (MEF),,60374987200,mef-hq@mef.org.my,http://www.mef.org.my,Employers Federation
CTE COMPUTER CENTRE SDN BHD,,60380232818,belinda@ctesb.com,http://www.ctesb.com,Computer Centre
DIVERSEY (MALAYSIA) SDN BHD,,60177438223,LVelayutham@solenis.com,http://www.solenis.com,Diversey
SGS (MALAYSIA) SDN BHD,,60376270080,kakoy.wong@sgs.com,http://www.sgs.com,SGS
LINDE MALAYSIA SDN. BHD.,,60165514053,nor.hazilah.ismail@linde.com,http://www.linde.com,Linde
CYNEERGY SOLUTIONS & SERVICES,,60129904855,praadibcyneergy1@gmail.com,No Corporate Domain Detected (Gmail),Solutions Services
SAFETY & ENVIRONMENTAL LABORATORY SDN. BHD.,,60333259781,admin@sees.com.my,http://www.sees.com.my,Safety Laboratory
ITRAININGEXPERT GLOBAL PLT,,60380749056,info@itrainingexpert.com,http://www.itrainingexpert.com,Expert Global
LEMBAGA MINYAK SAWIT MALAYSIA (MPOB),,+60132771825,mohdhakeem@yahoo.com,No Corporate Domain Detected (Yahoo),Palm Oil Board
ACT CONSULTING & EDUCATION SDN BHD,,60377251651,mohd.azri@esqmalaysia.com,http://www.esqmalaysia.com,Consulting Education
SHARMEE HUMAN SOLUTIONS SDN. BHD.,,60123979916,sivanesans@sharmee.net,http://www.sharmee.net,Human Solutions
MAN SKETCH TECHNOLOGIES SDN BHD,,60378872328,jason.chong@mastech.com.my,http://www.mastech.com.my,Technologies
AGENSI PEKERJAAN DAN LATIHAN FINDERS GROUP (M) SENDIRIAN BERHAD,,+60126380561,subravk@findersgroupmy.com,,
CIMA SE ASIA SDN BHD,,60330992540,chiewyen.chong@aicpa-cima.com,http://www.aicpa-cima.com,Cima Asia
GKK CONSULTANTS SDN BHD,,+60176834923,shubashini@gkkconsultants.com,http://www.gkkconsultants.com,Consultants
PENINSULA COLLEGE (CENTRAL) SDN. BHD.,,60122670011,siti@peninsulacollege.edu.my,http://www.peninsulacollege.edu.my,College
SIRIM ACADEMY SDN. BHD.,,60355446085,baizura@sirim.my,http://www.sirim.my,Academy
SCANEAST SDN BHD (KOLEJ ASA),,60360925254,chitra@asa.edu.my,http://www.asa.edu.my,College
IMC EDUCATION SDN BHD,,60380240757,siti.fazira@imc.edu.my,http://www.imc.edu.my,Education
PRUDENT COMMUNICATION SDN. BHD. (COLLEGE MCS),,+60196622944,corporate@mcs.edu.my,http://www.mcs.edu.my,Communication
FOCUS LEARNING CONSULTING SDN. BHD.,,+60376129141,nadira@focuslearning.com.my,http://www.focuslearning.com.my,Learning Consulting
CAMBRIDGE ENGLISH FOR LIFE SDN. BHD.,,60378830912,farhana@cambridgeforlife.org,http://www.cambridgeforlife.org,English Life
SMC AUTOMATION (MALAYSIA) SDN. BHD.,,60356350590,erik@smcmy.com.my,http://www.smcmy.com.my,Automation
BINARY UNIVERSITY SDN. BHD.,,60380706590,finance@binary.edu.my,http://www.binary.edu.my,University
FESTO SDN. BHD.,,60361441181,nurasyikin.zainalbahrin@festo.com,http://www.festo.com,Festo
INTI INSTRUMENTS (M) SDN BHD,"NO. 3, JALAN SS 15/8,LOT 29, 31, 33, 67, 69, 71 JALAN SS 15/8A,,NO. 1, JALAN SUBANG UTAMA,SUBANG JAYA,SUBANG JAYA,Selangor,Malaysia-47500",60356232800,sharniza.mahat@newinti.edu.my,http://www.newinti.edu.my,Instruments
SENDI MAHIR SDN. BHD.,,51917388,shahida@sendimahir.com,http://www.sendimahir.com,Sendi Mahir
VISUALOGIC RESOURCES (M) SDN. BHD.,,60377109188,steven@visualogic.com.my,http://www.visualogic.com.my,Resources
TECH TERRAIN SDN. BHD.,,60358871550,info@ttc.edu.my,http://www.ttc.edu.my,Tech Terrain
TUV NORD (MALAYSIA) SDN BHD,,60386004031,malaysia@tuv-nord.com,http://www.tuv-nord.com,TUV Nord
NOVO QUALITY SERVICES (M) SDN BHD,,78047811,management@nqs.com.my,http://www.nqs.com.my,Quality Services
GERMAN-MALAYSIAN INSTITUTE,,60389219027,esiana@gmi.edu.my,http://www.gmi.edu.my,Institute
TWI SERVICES SDN. BHD.,,60378481000,halimah.mgani@twisea.com,http://www.twisea.com,Services
LEADERONOMICS SDN BHD,,60136282636,akmal.othman@leaderonomics.com,http://www.leaderonomics.com,Leaderonomics
ESQ LEADERSHIP CENTRE SDN BHD,,77281650,md.tarmidi@esqmalaysia.com,http://www.esqmalaysia.com,Leadership Centre
SAFEGUARDS G4S ACADEMY SDN BHD (SAFEGUARDS BUSINESS CENTER),,+60126521986,hanisah.sham@safeguards-ss.com.my,,
PAISLEY CONSULTING SDN. BHD.,,60355124614,enquiry@paisley.com.my,http://www.paisley.com.my,Consulting
PROCESS-3 SERVICES SOLUTION SDN BHD,,60142344114,juliana@process-3.com,http://www.process-3.com,Services Solution
MYDIN RETAIL ACADEMY SDN. BHD. MYDIN MALL USJ,,60380736000,khaleedah.nasirudin@mydin.com,http://www.mydin.com,Retail Academy
TUV SUD (MALAYSIA) SDN BHD,,60378598822,terrisia.nojey@tuvsud.com,http://www.tuvsud.com,TUV SUD
KNOWLEDGE UNIVERSE SDN. BHD.,,60379555285,sweety@leb.education,http://www.leb.education,Knowledge Universe
MASLOW TRAINERS & CONSULTANTS SDN. BHD.,,60351213251,training@maslow.com.my,http://www.maslow.com.my,Trainers Consultants
CORPORATE LEARNING CONSULTANTS SDN BHD,,60122452494,zainal@lec2u.com,http://www.lec2u.com,Learning Consultants
BAKAT PINTAR SDN. BHD. (INTERNATIONAL COLLEGE IMPERIA),,60380816626,jylim@imperia.edu.my,http://www.imperia.edu.my,College
MY SHEQA GROUP SDN BHD,,60355698861,operation@mysheqa.com,http://www.mysheqa.com,Sheqa Group
SYSWELL AUTOMATION SDN.BHD.,,60380607646,general@syswell.com.my,http://www.syswell.com.my,Automation
D-JUNGLE PEOPLE SDN BHD,,60378778008,suefei.teh@djunglepeople.com,http://www.djunglepeople.com,Jungle People
SHIFTZ MANAGEMENT & CONSULTANCY PLT,,60122575349,pmtang@shiftz.com.my,http://www.shiftz.com.my,Management Consultancy
AUTHENTIC VENTURE SDN. BHD.,,60327243826,sales@ventures.com.my,http://www.ventures.com.my,Venture
MALAYSIAN GREEN TECHNOLOGY AND CLIMATE CHANGE CORPORATION,,60389210890,husna@mgtc.gov.my,,
U.C.I EDUCATION SDN BHD,,60122951159,shaja@city.edu.my,http://www.city.edu.my,Education
RQ CREATIVE SDN BHD,,60129272197,azuramli@gmail.com,No Corporate Domain Detected (Gmail),Creative
GLOBETROTTER CONSULTANCY SDN. BHD.,,60122004249,valsala@globetrotterconsultancy.com,http://www.globetrotterconsultancy.com,Consultancy
L & P TOTAL SOLUTIONS SDN. BHD.,,60123051401,marybj@learn-perform.com,http://www.learn-perform.com,Total Solutions
AMIOSH RESOURCES SDN BHD,,60389126591,azlin@amiosh.com,http://www.amiosh.com,Resources
EMERGENCY RESPONDER ACADEMY SDN. BHD.,,60356140402,billing@asec.com.my,http://www.asec.com.my,Responder Academy
MIGHTY JOE SDN. BHD.,,+60102953186,info@mightyjoe.com.my,http://www.mightyjoe.com.my,Mighty Joe
LEAN PARTNER SDN. BHD.,"K03-03-12, TOWER 3,UOA BUSINESS PARK,NO.1, JALAN PENGATURCARA U1/51A,SEKSYEN U1,SHAH ALAM,Selangor,Malaysia-40150",60355697742,info@leanpg.com,http://www.leanpg.com,Lean Partner
PINNACLE PERINTIS SDN. BHD.,,60388008354,admin@pinnaclep.com.my,http://www.pinnaclep.com.my,Perintis
THE IMAGE CREATOR SDN BHD,,+60123015511,wendy.liew@image-creator.com,http://www.image-creator.com,Image Creator
EDUC8 TECHNOLOGY SDN BHD,,60182201544,NINA@EDUC8TECHNOLOGY.COM,http://www.EDUC8TECHNOLOGY.COM,Educ8 Technology
MEGA OSH SOLUTION SDN. BHD.,,60173650098,noramin.zulkfly@gmail.com,No Corporate Domain Detected (Gmail),OSH Solution
KPMG PLT,,60377213787,tblee@kpmg.com.my,http://www.kpmg.com.my,Professional Services
GLOBALKNOX SDN BHD,,60378872010,joey@globalknox.com,http://www.globalknox.com,Global Knox
TAN CHONG EDUCATION SERVICES SDN BHD,,60327886417,learning.hr@tanchonggroup.com,http://www.tanchonggroup.com,Education Services
PLOMO SDN BHD,,60351916232,hr@plomogroup.com,http://www.plomogroup.com,Plomo
TFX CONSULTING SDN. BHD.,,+60132936002,hana@tfx.global,http://www.tfx.global,Consulting
BRIDGE KNOWLE EVENTS (M) SDN BHD,,60342703089,john@bridgeknowle.com,http://www.bridgeknowle.com,Events
HAY GROUP SDN BHD,,60379648888,Valerie.Yap@KornFerry.com,http://www.KornFerry.com,Hay Group
INNOVATION AND CREATIVITY SKILLS TRAINING SDN. BHD.,,60166990588,sharonkaur@inocrest.com,http://www.inocrest.com,Innovation Training
BRIDGIT SDN. BHD.,,60379609598,bridgit@bridgit.biz,http://www.bridgit.biz,Bridgit
ESD CONSULTANCY SDN BHD,,60387238843,albertkow@esdconsultancy.com,http://www.esdconsultancy.com,Consultancy
MALAYSIAN INS. OF CORPORATE GOVERNANCE,,60379576799,cysoong@micg.org.my,http://www.micg.org.my,Corporate Governance
IFCA MSC BERHAD,,60378053838,elainew@ifca.com.my,http://www.ifca.com.my,MSC
INFO TREK SDN. BHD.,,60378910135,customerservice@info-trek.com,http://www.info-trek.com,Info Trek
EMC MANAGEMENT CENTRE SDN. BHD.,,60386057862,info@emcgroup.com.my,http://www.emcgroup.com.my,Management Centre
PEMM CONSULTANTS SDN BHD,,60378771200,enquiry@pemmconsultants.com,http://www.pemmconsultants.com,Consultants
PERFORMANCE DEVELOPMENT CONSULTANTS SDN BHD,,+60361418378,train@pdcmsb.com,http://www.pdcmsb.com,Development Consultants
IVERSON ASSOCIATES SDN. BHD.,,60377262678,sales@iverson.com.my,http://www.iverson.com.my,Associates
DONG JIAO ZONG HIGHER LEARNING CENTRE BHD,,60196686719,bernard.low@newera.edu.my,http://www.newera.edu.my,Learning Centre
EMERSON PROCESS MANAGEMENT (MALAYSIA) SDN. BHD.,,60356242888,norhadijah.jamaludin@emerson.com,http://www.emerson.com,Process Management
KEPNER-TREGOE (M) SENDIRIAN BERHAD,,60327745151,alee@kepner-tregoe.com,http://www.kepner-tregoe.com,Kepner-Tregoe
CEDR CORPORATE CONSULTING SDN. BHD.,,60333447310,pnchong@cedr.com.my,http://www.cedr.com.my,Corporate Consulting
I GLOBALTECH RESOURCES SDN. BHD.,,60178861102,enquiry@iresources.com.my,http://www.iresources.com.my,Tech Resources
ASCENDENT TECHNOLOGY SDN BHD,,+60123752813,chteoh@ascendent.com.my,http://www.ascendent.com.my,Technology
RM INFINITE SDN. BHD.,,60122672270,rameshsad@yahoo.com,No Corporate Domain Detected (Yahoo),Infinite
GENIUS FUTURE EDUCATIONAL CENTRE SDN BHD,,60333245183,GENIUSSTUDIES@GMAIL.COM,No Corporate Domain Detected (Gmail),Educational Centre
INFOSYTE SDN BHD,,+60122238564,michelle@infosyte.com,http://www.infosyte.com,Infosyte
HAVI ENGINEERING & TRAINING CONSULTANTS SDN BHD,,60333187142,kala@havi.com.my,http://www.havi.com.my,Engineering Training
EXPRESS DEVELOPMENT SDN BHD,,60102361499,lydia@expressdevt.com,http://www.expressdevt.com,Development
NEXPERTS ACADEMY SDN BHD,,+601112216872,nazreen@nexpertsacademy.com,http://www.nexpertsacademy.com,Academy
FISH CAMP LEARNING SDN. BHD.,,60376607730,support.hrdc@fishcamp.com.my,http://www.fishcamp.com.my,Learning
BUDIMAN DINAMIK SDN. BHD.,"14, JALAN KOTA RAJA E 27/E,PUSAT BANDAR HICOM,SEKSYEN 27,40400,Shah Alam,Selangor,Malaysia-40400",60122453842,zainudin@budimandinamik.com,http://www.budimandinamik.com,Dinamik
SMART TRAINING & CONSULTANCY SDN. BHD.,,60122800805,sczaimi@gmail.com,No Corporate Domain Detected (Gmail),Training Consultancy
MKRS BUMI (M) SDN BHD,,60389124777,trainingteam@mkrs.com.my,http://www.mkrs.com.my,Bumi
TUV RHEINLAND MALAYSIA SDN. BHD.,,60374553003,farid.pouzan@tuv.com,http://www.tuv.com,TUV Rheinland
CHAP-ONE ASIA SDN. BHD.,,60358887027,hafiz@chap-one.com,http://www.chap-one.com,Asia
INSTEP LEARNING ASIA SDN BHD,,60386044388,finance@instep.com.my,http://www.instep.com.my,Learning Asia
DQS CERTIFICATION (M) SDN. BHD.,,60333423259,account2@dqs.com.my,http://www.dqs.com.my,Certification
COMPAS MTC (MALAYSIA) SDN BHD,,60350219336,info@compasnet.com,http://www.compasnet.com,Compas
CQ-TEC (P.J) SDN. BHD.,,60133310456,selvi@cq-tec.edu.my,http://www.cq-tec.edu.my,CQ-Tec
TRAINING.COM ASIA SDN BHD,,60378910131,info@trainingasia.com.my,http://www.trainingasia.com.my,Training
BIM CONSULTANCY SDN BHD,,60192311162,garyng@bim.com.my,http://www.bim.com.my,Consultancy
GENASHTIM SDN BHD,,60163377140,gee@genashtim.com,http://www.genashtim.com,Genashtim
ORANGE CONSULTING PLT,,60377821117,vani@orangeconsulting.com.my,http://www.orangeconsulting.com.my,Consulting
GLOTEQ RESOURCES SDN. BHD.,,60355231158,gloteqresources@gmail.com,No Corporate Domain Detected (Gmail),Resources
SVKL SOLUTION PLT,,60132032133,logan.svkl@gmail.com,No Corporate Domain Detected (Gmail),Solution
IAAYS PLT,,60395449909,dasan@iaays.com.my,http://www.iaays.com.my,Iaays
ASM LEARNING SDN BHD,,60192810722,training@asmlearning.com,http://www.asmlearning.com,Learning
AAA SOLUTIONS SDN BHD,,60122186018,ana@aaasolutions.co,http://www.aaasolutions.co,Solutions
MMS TRAINING & CONSULTANCY (M) SDN BHD,,60333231324,training@mmstcsb.com,http://www.mmstcsb.com,Training Consultancy
AGENSI PEKERJAAN CNETG ASIA SDN BHD,,60376650050,raj@cnetg.com,http://www.cnetg.com,Employment Agency
SS STUDIOS,,60166173313,syoksendiris@gmail.com,No Corporate Domain Detected (Gmail),Studios
SYNERGY IDEAS PLT,,+60163310517,contact@synergy-ideas.com,http://www.synergy-ideas.com,Ideas
CAE KUALA LUMPUR SDN. BHD.,,60387778060,hakeem.naszim@cae.com,http://www.cae.com,CAE
KNOWLEDGE EVOLUTION SDN. BHD.,,60122330449,anitashn@gmail.com,No Corporate Domain Detected (Gmail),Evolution
PRESTASI TANGKAS SDN. BHD.,,60356217205,intan@prestasi.my,http://www.prestasi.my,Tangkas
ELITE ESSENTIAL SDN.BHD.,,60380639211,info@elite-essential.com,http://www.elite-essential.com,Essential
ENTELLIGENT SDN BHD,,60380116668,mandy@entelligent.com.my,http://www.entelligent.com.my,Entelligent
HAMBRA RESOURCES SDN. BHD.,,60355124898,executivetraining960@gmail.com,No Corporate Domain Detected (Gmail),Resources
LCP ANIMATION TRAINING CENTRE SDN BHD,,60123819581,hr@lcaa.edu.my,http://www.lcaa.edu.my,Animation Training
PH ASPIRE CONSULTING SDN. BHD.,,+60122038044,helen@goaspire.ai,http://www.goaspire.ai,Aspire Consulting
BRAINYMATION STUDIO SDN BHD,,60378656272,jessy@brainymation.com,http://www.brainymation.com,Animation Studio
SYNERGY FOOD ACADEMY SDN BHD,,60126906450,synergyfoodacademy@gmail.com,No Corporate Domain Detected (Gmail),Food Academy
GLOBAL KNOWLEDGE HUB PLT,,60333822468,sureshvar@globalknowledgehub.com.my,http://www.globalknowledgehub.com.my,Knowledge Hub
MAHTEC SDN BHD,,60342525332,mahtec@hotels.org.my,http://www.hotels.org.my,Hotel Training
AK VICTORY SDN BHD,,60162133983,ak.victory.sb@gmail.com,No Corporate Domain Detected (Gmail),Victory
TIM COHEN CONSULTING PLT,,60122071004,info@t-cohen.com,http://www.t-cohen.com,Consulting
G.M.P. QUALITY-CONSULTANTS PLT,"BTK COMMERCIAL CENTRE,NO10A, JALAN1/11,SEKSYEN 1,,BANDAR TEKNOLOGI KAJANG,SEMENYIH,Selangor,Malaysia-43500",60387367658,cpng@gmpqc.com,http://www.gmpqc.com,Quality Consultants
CERT ACADEMY SDN BHD,,60380668665,claim@certacademy.com.my,http://www.certacademy.com.my,Academy
CORPORATE LEARNING SOLUTIONS SDN BHD,,60379554650,garynesh@gmail.com,No Corporate Domain Detected (Gmail),Learning Solutions
MENTIC HOLDINGS SDN. BHD.,,60133884488,coachrostam@gmail.com,No Corporate Domain Detected (Gmail),Holdings
ASIAWORKS MALAYSIA SDN BHD,,60379569417,hooimin@asiaworks.com.my,http://www.asiaworks.com.my,Asiaworks
ABB MALAYSIA SDN. BHD.,,60356284888,shany.yong@my.abb.com,http://www.my.abb.com,Engineering
ENSY TRAINING SERVICES PLT,,60102265291,maychung@ensy.my,http://www.ensy.my,Training Services
UK TRAINER PLT,,60389229619,uktrainerplt@gmail.com,No Corporate Domain Detected (Gmail),UK Trainer
JUNGHEINRICH LIFT TRUCK MALAYSIA SDN BHD,,60125873978,Kumarannair.Mani@jungheinrich.com.my,http://www.jungheinrich.com.my,Lift Truck
EDU ACTION SDN BHD,,+60125722763,hilsonyeap@eduAction.com.my,http://www.eduAction.com.my,Action
MANAGEMENT NET PLT,,60125682883,hhcyy6218@hotmail.com,No Corporate Domain Detected (Hotmail),Management Net
SALIHIN TRAINING AND CONSULTANCY SDN.BHD,,60361859970,info@salihinacademy.com,http://www.salihinacademy.com,Training Consultancy
LUMINOUS SYSTEMS SDN BHD,,+60172909322,ganesh@luminous.my,http://www.luminous.my,Systems
UNIPEQ SDN BHD,,60389215965,unipeq@ukm.edu.my,http://www.ukm.edu.my,Unipeq
SELANGOR HUMAN RESOURCE DEVELOPMENT CENTRE,,55133560,tohrachel@shrdc.org.my,http://www.shrdc.org.my,HR Development
INTERNATIONAL INSTITUTE OF PLANTATION MANAGEMENT,,60173426630,iipmcloud@gmail.com,No Corporate Domain Detected (Gmail),Plantation Management
METALLOY CONSULTANT SERVICES PLT,,60380751529,training@metalloy.com.my,,
CONSTRUCTION AND INDUSTRIAL SAFETY TRAINING CENTRE SDN BHD,,60341089355,account@consist.com.my,,
ECOLEAN CONSULTANCY SDN. BHD.,,60193746837,alex@EcoLeanConsultancy.com,,
ACADEMY OF SAFETY AND EMERGENCY CARE SDN. BHD.,,+60356140402,trainingadmin@asec.com.my,,
SREE KNOWLEDGE PROVIDER SDN BHD,,60378064661,hr@skp.my,,
SMR HR GROUP SDN. BHD.,,60129568185,subra@smrhrgroup.com,,
EMERSON RESOURCES PLT,,60378809373,meichoo.emerson@gmail.com,,
AVIMUR SOLUTIONS SDN BHD,,60122125422,palani12@gmail.com,,
WKS HOLDINGS SDN BHD,,60378038188,admin@wks-h.com,,
SYNERGY TAS PLT,,60163026109,event@synergytas.com,,
SEAWAVES QUALITY CONSULTANCY TRAINING SDN BHD,,60333234814,seawavesqct@yahoo.com,,
BCMI SDN. BHD.,,60102979417,info.my@bcm-institute.org,,
ALPHA INTERNATIONAL TRAINING & CONSULTANCY SDN BHD,,+60123275911,louis@alphainternational.com.my,,
ANDRIX SDN BHD,,+601111902681,zulkifli.andrix@gmail.com,,
PUSAT KEMAHIRAN MASTURA (M) SDN. BHD.,,60360910158,mtcskills@yahoo.com,,
BESSEM SOLUTIONS SDN BHD,,60162092193,LEARNZ.COM.MY@GMAIL.COM,,
RQC MANAGEMENT SDN BHD,,60351316131,saravannan@rqc.edu.my,,
PERSATUAN INDUSTRI KOMPUTER DAN MULTIMEDIA MALAYSIA(PIKOM),,60376220079,academy@pikom.org.my,,
